FID,REITTI,SUUNTA,PYS_JARJNR,SOLMUTUNNU,LYHYTTUNNU,X,Y,PROJ_X,PROJ_Y,NIMI,NIMIR,OSOITE,OSOITER,AIK_VOIM,VERKKO,VPPYSAKKI,TARIFFIALU,JOUKKOLLAJ
3001,1040,2,6,1293131,H1656,2549784,6679677,2549801,6679676,Thalianaukio,Thaliaplatsen,Näyttelijäntie,Skådespelarvägen,1,1,1,01,01
3002,1040,2,7,1293124,H1654,2549972,6679502,2549983,6679520,Eliel Saarisen tie,Eliel Saarinens väg,Ilkantie,Ilkkavägen,1,1,1,01,01
3003,1040,2,8,1293127,H1650,2550194,6679205,2550211,6679201,Haagan ammattikoulu,Haga yrkesskola,Ilkantie 4,Ilkkavägen 4,1,1,1,01,01
3004,1040,2,9,1291124,H1648,2550016,6678903,2550035,6678891,Tunnelitie,Tunnelvägen,Tunnelitie,Tunnelvägen,1,1,1,01,01
3005,1040,2,10,1291107,H1646,2549968,6678515,2549984,6678521,Palokaivon aukio,Brandbrunnsplatsen,Kauppalantie,Köpingsvägen,1,1,1,01,01
3006,1040,2,11,1291105,H1644,2549958,6678206,2549978,6678201,Haagan tori,Haga torg,Kauppalantie,Köpingsvägen,1,1,1,01,01
3007,1040,2,12,1291103,H1642,2549831,6677931,2549848,6677919,Haagan paloasema,Haga brandstation,Kauppalantie,Köpingsvägen,1,1,1,01,01
3008,1040,2,13,1160109,H1932,2550015,6677614,2550036,6677614,Ruskeasuon varikko,Brunakärrs depå,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3009,1040,2,14,1160107,H1928,2550028,6677108,2550047,6677109,Ruskeasuo,Brunakärr,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3010,1040,2,15,1160104,H1926,2550149,6676579,2550171,6676582,Tilkka,Tilkka,Mannerheimintie,Mannerheimvägen,1,1,1,01,01
3011,1058B,2,7,1171152,H2107,2551711,6676482,2551695,6676479,Palkkatilanportti,Löneboställsporten,Pasilankatu,Bölegatan,1,1,1,01,01
