Rakennusluokitus 1994
A	Asuinrakennukset
01	Erilliset pientalot
011	Yhden asunnon talot
012	Kahden asunnon talot
013	Muut erilliset pientalot
02	Rivi- ja ketjutalot
021	Rivitalot
022	Ketjutalot
03	Asuinkerrostalot
032	Luhtitalot
039	Muut asuinkerrostalot
 
B	Vapaa-ajan asuinrakennukset
04	Vapaa-ajan asuinrakennukset
041	Vapaa-ajan asuinrakennukset
 
C	Liikerakennukset
11	Myymälärakennukset
111	Myymälähallit
112	Liike- ja tavaratalot, kauppakeskukset
119	Muut myymälärakennukset
12	Majoitusliikerakennukset
121	Hotellit yms.
123	Loma-, lepo- ja virkistyskodit
124	Vuokrattavat lomamökit ja -osakkeet
129	Muut majoitusliikerakennukset
13	Asuntolarakennukset
131	Asuntolat yms.
139	Muut asuntolarakennukset
14	Ravintolat yms.
141	Ravintolat yms.
 
D	Toimistorakennukset
15	Toimistorakennukset
151	Toimistorakennukset
 
E	Liikenteen rakennukset
16	Liikenteen rakennukset
161	Rautatie- ja linja-autoasemat, lento- ja satamaterminaalit
162	Kulkuneuvojen suoja- ja huoltorakennukset
163	Pysäköintitalot
164	Tietoliikenteen rakennukset
169	Muut liikenteen rakennukset
 
F	Hoitoalan rakennukset
21	Terveydenhuoltorakennukset
211	Keskussairaalat
213	Muut sairaalat
214	Terveyskeskukset
215	Terveydenhuollon erityislaitokset
219	Muut terveydenhuoltorakennukset
22	Huoltolaitosrakennukset
221	Vanhainkodit
222	Lasten- ja koulukodit
223	Kehitysvammaisten hoitolaitokset
229	Muut huoltolaitosrakennukset
23	Muut sosiaalitoimen rakennukset
231	Lasten päiväkodit
239	Muualla luokittelemattomat sosiaalitoimen rakennukset
24	Vankilat
241	Vankilat
 
G	Kokoontumisrakennukset
31	Teatteri- ja konserttirakennukset
311	Teatterit, ooppera-, konsertti- ja kongressitalot
312	Elokuvateatterit
32	Kirjasto-, museo- ja näyttelyhallirakennukset
322	Kirjastot ja arkistot
323	Museot ja taidegalleriat
324	Näyttelyhallit
33	Seura- ja kerhorakennukset yms.
331	Seura- ja kerhorakennukset yms.
34	Uskonnollisten yhteisöjen rakennukset
341	Kirkot, kappelit, luostarit ja rukoushuoneet
342	Seurakuntatalot
349	Muut uskonnollisten yhteisöjen rakennukset
35	Urheilu- ja kuntoilurakennukset
351	Jäähallit
352	Uimahallit
353	Tennis-, squash- ja sulkapallohallit
354	Monitoimihallit ja muut urheiluhallit
359	Muut urheilu- ja kuntoilurakennukset
36	Muut kokoontumisrakennukset
369	Muut kokoontumisrakennukset
 
H	Opetusrakennukset
51	Yleissivistävien oppilaitosten rakennukset
511	Yleissivistävien oppilaitosten rakennukset
52	Ammatillisten oppilaitosten rakennukset
521	Ammatillisten oppilaitosten rakennukset
53	Korkeakoulu- ja tutkimuslaitosrakennukset
531	Korkeakoulurakennukset
532	Tutkimuslaitosrakennukset
54	Muut opetusrakennukset
541	Järjestöjen, liittojen, työnantajien yms. opetusrakennukset
549	Muualla luokittelemattomat opetusrakennukset
 
J	Teollisuusrakennukset
61	Energiantuotannon yms. rakennukset
611	Voimalaitosrakennukset
613	Yhdyskuntatekniikan rakennukset
69	Teollisuuden tuotantorakennukset
691	Teollisuushallit
692	Teollisuus- ja pienteollisuustalot
699	Muut teollisuuden tuotantorakennukset
 
K	Varastorakennukset
71	Varastorakennukset
711	Teollisuusvarastot
712	Kauppavarastot
719	Muut varastorakennukset
 
L	Palo- ja pelastustoimen rakennukset
72	Palo- ja pelastustoimen rakennukset
721	Paloasemat
722	Väestönsuojat
729	Muut palo- ja pelastustoimen rakennukset
 
M	Maatalousrakennukset
81	Kotieläinrakennukset
811	Navetat, sikalat, kanalat yms.
819	Eläinsuojat, ravihevostallit, maneesit yms.
89	Muut maatalousrakennukset
891	Viljankuivaamot ja viljan säilytysrakennukset
892	Kasvihuoneet
893	Turkistarhat
899	Muut maa-, metsä- ja kalatalouden rakennukset
 
N	Muut rakennukset
93	Muut rakennukset
931	Saunarakennukset
941	Talousrakennukset
999	Muualla luokittelemattomat rakennukset
